external_id,purchase_collection
product_template_AFCP0217378_ESP_363391,ALFOMBRA
product_template_AFCP1217378_ESP_718671,ALFOMBRA
product_template_ALF005_ESP_458907,ALFOMBRA
product_template_ALF004_ESP_853448,ALFOMBRA
product_template_ALF003_ESP_877688,ALFOMBRA
product_template_ALF007_ESP_516471,ALFOMBRA
product_template_ALF006_ESP_466276,ALFOMBRA
product_template_AFST325VER1_ESP_698953,STH
product_template_AFCHC1A1724BON1_952019,CHC
product_template_AFVLS1A1724VIN1_677607,VLS
product_template_AFVLS1A1724LAT1_463865,VLS
product_template_AFVLS1A1724CAP1_658831,VLS
product_template_AFCHC1A1724CHA1_165361,CHC
product_template_AFSTH1A1724VER1_864682,STH
product_template_AFSTH1A1724BEI1_726478,STH
product_template_9911_40d15a22,LIT
product_template_AFCHC1A2030BON1_879402,CHC
product_template_AFVLS1A2030CAP1_314408,VLS
product_template_AFVLS1A2030VIN1_331380,VLS
product_template_AFVLS1A2030LAT1_763592,VLS
product_template_9913_8533f9f1,DUN
product_template_AFSTH1A2030BEI1_383945,STH
product_template_9912_d6bc0347,LIT
product_template_AFCHC1A2030CHA1_333826,CHC
product_template_AFSTH1A2030VER1_447656,STH
product_template_11396_f3e3495b,CHC
product_template_11397_1d3c6f46,CHC
product_template_AFCHC1A3040BON1_728970,CHC
product_template_11734_ab4ce987,VLS
product_template_12530_69bcbe28,VLS
product_template_12388_b6d01ff4,VLS
product_template_12529_fce924dc,VLS
product_template_AFST217091_ESP_476754,STH
product_template_8387_9d9e2b00,ACCESORIOS
product_template_98134_655612,SSX
product_template_70601_687144,PULIMENTO
product_template_71059_860405,PULIMENTO
product_template_99392_897925,ESTRUCTURA METALICA
product_template_9426_b5ad8dd2,STH
product_template_ANOD_SK1051_483578,STH
product_template_ANOD_SK4651_615909,STH
product_template_9666_500d0953,STH
product_template_ANOD_SK1052_325685,STH
product_template_ANOD_SK4661_807210,STH
product_template_9668_27d152da,STH
product_template_ANOD_LT71392_826691,LIT
product_template_ANOD_LT78786_716706,LIT
product_template_9836_723e4d12,LIT
product_template_ANOD_SM0751_638038,ALUMINIO ANODIZADO
product_template_8431_cc6224c3,STH
product_template_13599_0d883571,BEA
product_template_ANOD_SK4491_735571,STH
product_template_ANOD_SK4471_143058,STH
product_template_ANOD_SK4481_395424,STH
product_template_ANOD_SK4492_113982,STH
product_template_9375_7b838bd8,STH
product_template_ANOD_ST0001_877937,ALUMINIO ANODIZADO
product_template_9078_421408ff,STH
product_template_9077_eff3b9d5,STH
product_template_ANOD_LT7001_227972,LIT
product_template_ANOD_LO7006_613561,LIT
product_template_ANOD_SK70183_264209,STH
product_template_9384_8b0dd85d,STH
product_template_ANOD_SK4511_791095,STH
product_template_ANOD_SK4521_570043,STH
product_template_13486_3ca1cd90,ALUMINIO ANODIZADO
product_template_ANOD_SK4531_531741,STH
product_template_9670_05b7ea08,STH
product_template_ANOD_SK4541_458663,STH
product_template_9372_0d8848c7,STH
product_template_11543_1a2b1a0c,ALUMINIO ANODIZADO
product_template_9599_d8cd2d98,CONSUMIBLES
product_template_9936_a566af98,ATR
product_template_9937_403742eb,ATR
product_template_9938_dc34814d,ATR
product_template_9939_1ab5cd6b,ATR
product_template_X0014APIL_567025,HUG
product_template_9814_b3b15133,TORNILLERA
product_template_9894_c3a1182b,TORNILLERA
product_template_8367_28eca849,TORNILLERA
product_template_9598_db42b974,TORNILLERA
product_template_8627_7b18ba2b,TORNILLERA
product_template_9503_c80e89b6,TORNILLERA
product_template_13418_3de3825d,GAR
product_template_13380_7f5f9acf,DUN
product_template_11BR6020MP_517641,BRD
product_template_11BR6030MP_251409,BRD
product_template_11BR6050MP_650680,BRD
product_template_11BR6010MP_952272,BRD
product_template_9048_2be8458c,NCL
product_template_10381_b43d79a5,VLS
product_template_11VL8021_252947,VLS
product_template_10385_65147a1e,VLS
product_template_11VL8031_602079,VLS
product_template_CHAP_SEN001_842869,SEN
product_template_9516_8a94d0de,SEN
product_template_9573_55473f81,SEN
product_template_11HG1000_767143,HUG
product_template_12HG1000_414973,HUG
product_template_35MV0021MP_885198,MAV
product_template_12MV0021MP_252294,MAV
product_template_11MV0021MP_481145,MAV
product_template_35HG1500_294200,HUG
product_template_11HG2000_881418,HUG
product_template_12HG2000_990871,HUG
product_template_11775_053b1048,MLM
product_template_11729_2bed17df,MLM
product_template_11919_74feccf4,MLM
product_template_11936_95c4cf0e,MLM
product_template_35SK6141MP_710863,STH
product_template_12MB2116_682594,TABLERO MECANIZADO
product_template_11MB2116_363708,TABLERO MECANIZADO
product_template_12MB2115_844661,TABLERO MECANIZADO
product_template_11MB2115_279552,TABLERO MECANIZADO
product_template_9066_940cbd74,RIO
product_template_13612_ad365dd6,RIO
product_template_35RI5741_155170,RIO
product_template_9406_23881442,DUN
product_template_9399_438336af,TABLERO MECANIZADO
product_template_9403_2634382d,DUN
product_template_10473_61e724a4,CRL
product_template_9317_75aae379,RIO
product_template_10617_0f38f23b,CONSUMIBLES
product_template_11672_36bc4b28,BEA
product_template_10119_4846694f,PIEDRA
product_template_10124_1e24ce31,PIEDRA
product_template_10118_c1e48740,PIEDRA
product_template_10123_1205aabb,PIEDRA
product_template_10117_3c57638a,PIEDRA
product_template_10484_cef92c64,LIT
product_template_11320_df413d56,PIEDRA
product_template_11321_259ff75e,NCL
product_template_10122_520c6325,PIEDRA
product_template_10126_6f8a62a0,PIEDRA
product_template_10121_55d50f85,PIEDRA
product_template_10125_36987ee3,PIEDRA
product_template_10120_9998ff1c,PIEDRA
product_template_11480_f0476baf,BAL
product_template_11486_8046a611,BAL
product_template_11484_278df920,BAL
product_template_11490_ddedf46e,BAL
product_template_11482_93eddb10,BAL
product_template_11488_f2f96980,BAL
product_template_11483_151fdf17,BAL
product_template_11489_9dfc0224,BAL
product_template_11494_841add1f,BAL
product_template_11493_d2ad618d,BAL
product_template_11479_ac81128c,BAL
product_template_11485_f302c934,BAL
product_template_11737_72c051b9,BAL
product_template_11481_cfd295f7,BAL
product_template_11487_bb0cd777,BAL
product_template_11749_1fdb74ec,BAL
product_template_11750_ec530655,BAL
product_template_11751_7abe5ed8,BAL
product_template_11738_f1f6c046,BAL
product_template_12123_7cba5a21,BAL
product_template_11741_7e848d91,BAL
product_template_11743_99bd7d0e,BAL
product_template_11748_5f3cdd1d,BAL
product_template_11740_6dc66031,BAL
product_template_11455_e29e0ee4,BAL
product_template_11456_6327f24b,BAL
product_template_11752_e14f5a65,BAL
product_template_11742_86acd124,BAL
product_template_11746_a39eb033,BAL
product_template_11747_78587e4f,BAL
product_template_11739_a7cca725,BAL
product_template_11MT0711MP_229401,MTS
product_template_11MT0721MP_640488,MTS
product_template_12MT0711MP_538508,MLM
product_template_12MT0721MP_839971,MLM
product_template_12MT0111MP_999886,MLM
product_template_9327_3939275f,MTS
product_template_9070_a771474e,MLM
product_template_12MT0081_506200,MLM
product_template_12845_f7b6261d,BRD
product_template_71403MP_792079,BRD
product_template_70128MP_727823,BRD
product_template_12MT0321_965507,MLM
product_template_9329_e5d7f0e0,MTS
product_template_11BA0241MP_281847,MADERA
product_template_11MT0611MP_870107,MTS
product_template_12MT0631MP_706054,MLM
product_template_11MT0631MP_314262,MTS
product_template_12SK5201_940469,STH
product_template_11SK5201_846725,STH
product_template_11MT0811_850059,MTS
product_template_12MT0811_340826,MTS
product_template_11MT0821_129488,MTS
product_template_12129_379f7710,MTS
product_template_11MT0411MP_865655,MTS
product_template_10028_1a81df0c,PULIMENTO
product_template_10048_35877633,PULIMENTO
product_template_10029_258e3dda,PULIMENTO
product_template_10030_571933e8,PULIMENTO
product_template_74195_664889,ELECTRIFICACION
product_template_9917_bb38d091,NUV
product_template_12503_4cb16e72,NUV
product_template_9918_49d8e139,NUV
product_template_12502_8f6ffd26,NUV
product_template_11MI0061_926220,MADERA
product_template_11327_67fa0e95,DUN
product_template_10460_7ab52bec,DUN
product_template_12939_e49d41e8,TABLERO MECANIZADO
